Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
IndianPines_PCA_15_mou,69.55800565908869,0.6521071147250533,IndianPines,PCA,15,mou,Undefined,0.0
IndianPines_PCA_15_hamida,96.7509025270758,0.9630684571415956,IndianPines,PCA,15,hamida,Undefined,0.0
IndianPines_PCA_15_li,88.0671285003415,0.864160327423353,IndianPines,PCA,15,li,Undefined,0.0
IndianPines_PCA_15_paoletti,68.6018148112011,0.6391138464347732,IndianPines,PCA,15,paoletti,Undefined,0.0
IndianPines_PCA_30_mou,66.07473899892672,0.6076350352787744,IndianPines,PCA,30,mou,Undefined,0.0
IndianPines_PCA_30_hamida,97.26802614889256,0.968938283352536,IndianPines,PCA,30,hamida,Undefined,0.0
IndianPines_PCA_30_li,23.338862328032004,-0.0002442280261013,IndianPines,PCA,30,li,Undefined,0.0
IndianPines_PCA_30_paoletti,64.64045272709532,0.5901930850466851,IndianPines,PCA,30,paoletti,Undefined,0.0
IndianPines_FastICA_8_mou,90.87715874719484,0.8964088762108116,IndianPines,FastICA,8,mou,Undefined,0.0
IndianPines_FastICA_8_hamida,96.06790906429896,0.9553044617993084,IndianPines,FastICA,8,hamida,Undefined,0.0
IndianPines_FastICA_8_li,97.43389598985269,0.9708273669211764,IndianPines,FastICA,8,li,Undefined,0.0
IndianPines_FastICA_8_paoletti,94.49433814916048,0.9374467516352434,IndianPines,FastICA,8,paoletti,Undefined,0.0
IndianPines_FastICA_15_mou,93.9018440823495,0.9306620247265728,IndianPines,FastICA,15,mou,Undefined,0.0
IndianPines_FastICA_15_hamida,97.26802614889256,0.9689411593677782,IndianPines,FastICA,15,hamida,Undefined,0.0
IndianPines_FastICA_15_li,97.10215630793247,0.967060671414303,IndianPines,FastICA,15,li,Undefined,0.0
IndianPines_FastICA_15_paoletti,95.78495462971998,0.9520445049619718,IndianPines,FastICA,15,paoletti,Undefined,0.0
IndianPines_FastICA_30_mou,87.2085081471363,0.8543869841389085,IndianPines,FastICA,30,mou,Undefined,0.0
IndianPines_FastICA_30_hamida,97.35583959410674,0.9699352853070448,IndianPines,FastICA,30,hamida,Undefined,0.0
IndianPines_FastICA_30_li,23.338862328032004,-0.0002442280261013,IndianPines,FastICA,30,li,Undefined,0.0
IndianPines_FastICA_30_paoletti,88.09639964874621,0.8646439926065568,IndianPines,FastICA,30,paoletti,Undefined,0.0
IndianPines_UMAP_8_mou,87.45243438384233,0.8570979179092694,IndianPines,UMAP,8,mou,Undefined,0.0
IndianPines_UMAP_8_hamida,96.53624743877452,0.9606136306058578,IndianPines,UMAP,8,hamida,Undefined,0.0
IndianPines_UMAP_8_li,96.79968777441702,0.9636165232514184,IndianPines,UMAP,8,li,Undefined,0.0
IndianPines_UMAP_8_paoletti,87.67684652161186,0.8599316623375052,IndianPines,UMAP,8,paoletti,Undefined,0.0
IndianPines_UMAP_15_mou,92.21387452434384,0.911408421181726,IndianPines,UMAP,15,mou,Undefined,0.0
IndianPines_UMAP_15_hamida,97.05337106059127,0.9664988516227097,IndianPines,UMAP,15,hamida,Undefined,0.0
IndianPines_UMAP_15_li,97.26802614889256,0.968939371291884,IndianPines,UMAP,15,li,Undefined,0.0
IndianPines_UMAP_15_paoletti,92.78954044297004,0.9180231529598182,IndianPines,UMAP,15,paoletti,Undefined,0.0
IndianPines_UMAP_30_mou,92.59439945360523,0.9158051084397688,IndianPines,UMAP,30,mou,Undefined,0.0
IndianPines_UMAP_30_hamida,97.32656844570202,0.969608735079907,IndianPines,UMAP,30,hamida,Undefined,0.0
IndianPines_UMAP_30_li,97.32656844570202,0.9696076286158898,IndianPines,UMAP,30,li,Undefined,0.0
IndianPines_UMAP_30_paoletti,90.70153185676652,0.8943622065836465,IndianPines,UMAP,30,paoletti,Undefined,0.0
IndianPines_DiffMaps_8_mou,75.44904334244436,0.7175534318527652,IndianPines,DiffMaps,8,mou,Undefined,0.0
IndianPines_DiffMaps_8_hamida,85.75470777636842,0.8375970183875586,IndianPines,DiffMaps,8,hamida,Undefined,0.0
IndianPines_DiffMaps_8_li,89.05259049663381,0.8750600233248391,IndianPines,DiffMaps,8,li,Undefined,0.0
IndianPines_DiffMaps_8_paoletti,76.25134159430188,0.7301167130154771,IndianPines,DiffMaps,8,paoletti,Undefined,0.0
